Question,openai_gpt-3.5-turbo_1,openai_gpt-3.5-turbo_2,openai_gpt-4o-mini_1,openai_gpt-4o-mini_2,ollama_llama3,gpt-4o-mini_student_teacher,ollama_gemma_student_teacher,gpt-4o-mini_blind
Role of Repentance in Forgiveness answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,85.0,90.0,95.0
Biblical Examples of Repentance answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,85.0,95.0
Understanding the Spirit answered by gemma Bible Translator,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Nature of God answered by gemma Bible Translator,95.0,90.0,95.0,95.0,85.0,85.0,90.0,85.0
Spiritual Gifts answered by gemma Bible Translator,95.0,95.0,95.0,90.0,95.0,90.0,85.0,90.0
Understanding Being 'In Christ' answered by gemma Bible Translator,90.0,90.0,95.0,95.0,60.0,90.0,90.0,95.0
Benefits of Being 'In Christ' answered by gemma Bible Translator,85.0,90.0,90.0,90.0,60.0,80.0,85.0,85.0
Faith in Christ answered by gemma Bible Translator,90.0,95.0,90.0,90.0,85.0,90.0,95.0,95.0
Understanding Grace answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,80.0,95.0,95.0
Being Gracious answered by gemma Bible Translator,90.0,95.0,90.0,95.0,85.0,85.0,95.0,94.0
Finding Grace answered by gemma Bible Translator,95.0,95.0,95.0,90.0,85.0,80.0,90.0,95.0
Understanding Reconciliation answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,90.0,95.0
Peace with God answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,95.0,95.0
Application of Reconciliation answered by gemma Bible Translator,90.0,95.0,95.0,90.0,80.0,80.0,90.0,95.0
Demon Possession answered by gemma Bible Translator,90.0,85.0,85.0,90.0,85.0,80.0,85.0,70.0
Healing Through Jesus answered by gemma Bible Translator,95.0,90.0,90.0,90.0,60.0,60.0,85.0,85.0
Examples in Scripture answered by gemma Bible Translator,70.0,90.0,85.0,80.0,80.0,50.0,70.0,20.0
Testimony Meaning answered by gemma Bible Translator,95.0,90.0,95.0,95.0,60.0,80.0,85.0,85.0
Role of Witnesses answered by gemma Bible Translator,90.0,95.0,90.0,90.0,95.0,85.0,95.0,90.0
False Witness answered by gemma Bible Translator,95.0,90.0,95.0,90.0,92.0,92.0,90.0,95.0
Understanding the Elect answered by gemma Bible Translator,95.0,95.0,95.0,90.0,85.0,90.0,90.0,90.0
The Role of God's Chosen answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,75.0,85.0,88.0
Translation of 'Elect' answered by gemma Bible Translator,92.0,85.0,90.0,92.0,85.0,85.0,85.0,85.0
Understanding Biblical Naming answered by gemma Bible Translator,90.0,95.0,95.0,95.0,40.0,75.0,85.0,95.0
God's Identity Through Naming answered by gemma Bible Translator,95.0,95.0,95.0,90.0,85.0,80.0,90.0,90.0
Translation of 'Call' answered by gemma Bible Translator,80.0,85.0,90.0,85.0,85.0,90.0,85.0,90.0
Consecration Meaning answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,90.0,95.0
Consecrated Individuals answered by gemma Bible Translator,75.0,80.0,90.0,85.0,65.0,60.0,85.0,85.0
Consecration and Service answered by gemma Bible Translator,95.0,95.0,95.0,95.0,75.0,85.0,90.0,90.0
Understanding Curses answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,85.0,90.0,85.0
Curses and Disobedience answered by gemma Bible Translator,92.0,90.0,90.0,90.0,85.0,85.0,85.0,90.0
Cursing in the Biblical Narrative answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,85.0
Understanding Atonement answered by gemma Bible Translator,95.0,90.0,90.0,95.0,90.0,80.0,95.0,95.0
Old vs. New Testament Atonement answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,85.0,90.0
Atonement and Forgiveness answered by gemma Bible Translator,95.0,95.0,95.0,95.0,97.0,95.0,90.0,90.0
Understanding Evil answered by gemma Bible Translator,90.0,90.0,90.0,90.0,80.0,90.0,90.0,90.0
Consequences of Evil answered by gemma Bible Translator,95.0,90.0,90.0,90.0,90.0,80.0,85.0,90.0
Nature of Wickedness answered by gemma Bible Translator,95.0,85.0,95.0,95.0,85.0,70.0,85.0,90.0
Confession of Sins answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,85.0,90.0
Hypocrisy in Personal Conduct answered by gemma Bible Translator,80.0,90.0,85.0,70.0,80.0,70.0,90.0,85.0
Judgment of Others answered by gemma Bible Translator,95.0,95.0,95.0,90.0,85.0,90.0,90.0,98.0
Authentic Christian Living answered by gemma Bible Translator,90.0,95.0,90.0,90.0,90.0,80.0,90.0,95.0
Definition of the People of God answered by gemma Bible Translator,85.0,90.0,90.0,95.0,70.0,85.0,85.0,95.0
Significance of Anointing answered by gemma Bible Translator,95.0,95.0,95.0,95.0,92.0,95.0,85.0,90.0
Healing through Anointing answered by gemma Bible Translator,60.0,75.0,70.0,70.0,60.0,60.0,80.0,75.0
Anointing and the Holy Spirit answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,95.0
Worship Practices answered by gemma Bible Translator,85.0,90.0,90.0,80.0,80.0,30.0,80.0,50.0
Idolatry in the Bible answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,90.0,90.0
Spiritual Deceit answered by gemma Bible Translator,90.0,90.0,90.0,90.0,80.0,50.0,70.0,20.0
Deacon Definition answered by gemma Bible Translator,95.0,95.0,90.0,95.0,60.0,75.0,85.0,85.0
Biblical Context answered by gemma Bible Translator,90.0,90.0,80.0,60.0,60.0,75.0,85.0,85.0
Terminology answered by gemma Bible Translator,85.0,85.0,90.0,90.0,40.0,85.0,85.0,90.0
Word of God answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,90.0,90.0
Nature of Scripture answered by gemma Bible Translator,95.0,95.0,95.0,90.0,85.0,90.0,85.0,95.0
Role of Jesus as the Word answered by gemma Bible Translator,90.0,95.0,90.0,95.0,80.0,85.0,90.0,95.0
Purpose of Parables answered by gemma Bible Translator,90.0,85.0,70.0,85.0,60.0,95.0,85.0,85.0
Example of Parables answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,85.0,85.0,85.0
Role of Parables in Scripture answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,70.0,85.0,90.0
Israel's Identity answered by gemma Bible Translator,95.0,95.0,95.0,95.0,70.0,80.0,85.0,95.0
Covenant with Israel answered by gemma Bible Translator,95.0,85.0,90.0,95.0,90.0,85.0,85.0,90.0
Division of Israel answered by gemma Bible Translator,90.0,70.0,75.0,70.0,40.0,50.0,80.0,95.0
Eunuchs in the Bible answered by gemma Bible Translator,95.0,95.0,90.0,90.0,85.0,85.0,85.0,85.0
Ethiopian Eunuch answered by gemma Bible Translator,95.0,95.0,95.0,90.0,85.0,85.0,90.0,85.0
Role of Eunuchs answered by gemma Bible Translator,90.0,95.0,90.0,95.0,80.0,70.0,70.0,20.0
Nazirite Vow Significance answered by gemma Bible Translator,80.0,60.0,70.0,40.0,80.0,50.0,80.0,20.0
Samson's Nazirite Status answered by gemma Bible Translator,80.0,90.0,95.0,90.0,80.0,40.0,70.0,60.0
New Testament References answered by gemma Bible Translator,90.0,85.0,80.0,70.0,80.0,90.0,80.0,60.0
Jewish Identity in Christianity answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,95.0
Rejection of Jesus by Jewish Leaders answered by gemma Bible Translator,85.0,90.0,90.0,85.0,60.0,75.0,85.0,95.0
Return from Exile answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,95.0,90.0
Understanding Temptation answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,80.0,85.0,85.0
Nature of Temptation answered by gemma Bible Translator,95.0,90.0,90.0,95.0,85.0,85.0,90.0,95.0
Tempting God answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,70.0,90.0,95.0
Sanctuary Definition answered by gemma Bible Translator,85.0,95.0,95.0,95.0,80.0,85.0,90.0,92.0
Sanctuary in the Old Testament answered by gemma Bible Translator,90.0,90.0,90.0,90.0,40.0,85.0,85.0,90.0
Translation of Sanctuary answered by gemma Bible Translator,95.0,90.0,90.0,95.0,85.0,60.0,95.0,90.0
Understanding God's Favor answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,85.0,90.0,85.0
Favoritism in Relationships answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,85.0,90.0,90.0
Finding Favor answered by gemma Bible Translator,95.0,85.0,95.0,90.0,80.0,70.0,90.0,85.0
Understanding New Birth answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,90.0,95.0
Role of the Holy Spirit answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,95.0,95.0
God's Role in New Birth answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Definition of a Christian answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,85.0,90.0,90.0
Origin of the Term answered by gemma Bible Translator,85.0,85.0,80.0,85.0,40.0,85.0,80.0,90.0
Assurance of Salvation answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,95.0,95.0,95.0
Understanding Intercession answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,85.0,85.0,90.0
Scriptural Basis for Intercession answered by gemma Bible Translator,95.0,90.0,95.0,95.0,85.0,85.0,85.0,95.0
Definition and Translation answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,90.0,85.0,85.0
Understanding Innocence answered by gemma Bible Translator,90.0,90.0,85.0,90.0,85.0,80.0,90.0,85.0
Innocent Suffering answered by gemma Bible Translator,90.0,90.0,95.0,95.0,85.0,90.0,85.0,85.0
Biblical Examples of Innocence answered by gemma Bible Translator,85.0,85.0,95.0,85.0,80.0,85.0,85.0,85.0
Role of the High Priest answered by gemma Bible Translator,90.0,80.0,95.0,90.0,20.0,75.0,85.0,90.0
Jesus as the High Priest answered by gemma Bible Translator,95.0,95.0,90.0,95.0,95.0,85.0,95.0,95.0
Chief Priests' Authority answered by gemma Bible Translator,90.0,95.0,95.0,95.0,85.0,85.0,90.0,90.0
Purpose of Psalms answered by gemma Bible Translator,90.0,90.0,90.0,90.0,85.0,85.0,85.0,90.0
New Testament Instruction answered by gemma Bible Translator,85.0,95.0,90.0,90.0,85.0,75.0,85.0,90.0
Authorship of Psalms answered by gemma Bible Translator,90.0,90.0,80.0,90.0,60.0,85.0,85.0,90.0
Compassion Definition answered by gemma Bible Translator,95.0,95.0,95.0,90.0,80.0,85.0,85.0,90.0
God's Compassion answered by gemma Bible Translator,95.0,93.0,95.0,95.0,90.0,70.0,85.0,85.0
Compassionate Actions answered by gemma Bible Translator,90.0,90.0,85.0,95.0,80.0,85.0,85.0,95.0
Authority in Governance answered by gemma Bible Translator,90.0,95.0,90.0,95.0,85.0,75.0,90.0,90.0
Spiritual Authority answered by gemma Bible Translator,95.0,90.0,90.0,90.0,85.0,85.0,90.0,95.0
Authority of Parents answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,90.0,95.0
Predestination Meaning answered by gemma Bible Translator,95.0,95.0,90.0,95.0,90.0,85.0,90.0,95.0
Foreordain vs Predestine answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,85.0,90.0
Translation of Predestine answered by gemma Bible Translator,90.0,90.0,90.0,85.0,60.0,80.0,85.0,85.0
Faithfulness to God answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,85.0,90.0
Nature of Hell answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,90.0
Eternal Punishment answered by gemma Bible Translator,80.0,90.0,85.0,90.0,85.0,80.0,85.0,85.0
Satan's Fate answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,95.0,95.0
Noah's Ark answered by gemma Bible Translator,90.0,90.0,90.0,95.0,85.0,80.0,85.0,90.0
Ark of the Covenant answered by gemma Bible Translator,90.0,90.0,90.0,95.0,85.0,70.0,85.0,70.0
Translation of Ark answered by gemma Bible Translator,90.0,90.0,90.0,95.0,60.0,90.0,85.0,80.0
Understanding Abomination answered by gemma Bible Translator,90.0,90.0,95.0,95.0,85.0,85.0,95.0,90.0
Abomination of Desolation answered by gemma Bible Translator,85.0,85.0,85.0,70.0,85.0,60.0,85.0,85.0
Translation of Abomination answered by gemma Bible Translator,85.0,85.0,90.0,85.0,85.0,85.0,90.0,85.0
Fulfillment of Prophecies answered by gemma Bible Translator,95.0,90.0,95.0,85.0,40.0,85.0,95.0,90.0
Fulfilling Promises answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,95.0,95.0
Ministry Fulfillment answered by gemma Bible Translator,82.0,90.0,90.0,85.0,65.0,80.0,90.0,85.0
Understanding Purification answered by gemma Bible Translator,95.0,95.0,95.0,92.0,85.0,75.0,85.0,90.0
New Testament Redemption answered by gemma Bible Translator,95.0,90.0,95.0,90.0,90.0,85.0,85.0,85.0
Personal Application answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,85.0,85.0,95.0
Understanding Worship answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,95.0,95.0,95.0
True vs. False Worship answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,85.0,95.0,95.0
Biblical Examples of Worship answered by gemma Bible Translator,95.0,90.0,95.0,95.0,85.0,85.0,90.0,85.0
Understanding God's Calling answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,95.0,90.0
Prayer as Calling Out answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,85.0,90.0,75.0
Identity in Christ answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,90.0,95.0
Origins of the Hebrews answered by gemma Bible Translator,90.0,85.0,90.0,90.0,85.0,88.0,90.0,90.0
Terminology in the Bible answered by gemma Bible Translator,60.0,85.0,80.0,85.0,60.0,70.0,80.0,95.0
Language of the Old Testament answered by gemma Bible Translator,90.0,90.0,90.0,95.0,90.0,95.0,90.0,95.0
Understanding Cleanliness answered by gemma Bible Translator,95.0,95.0,95.0,90.0,85.0,85.0,90.0,85.0
Cleansing Practices answered by gemma Bible Translator,95.0,95.0,90.0,90.0,85.0,85.0,85.0,85.0
The Role of Cleansing in Christianity answered by gemma Bible Translator,90.0,90.0,85.0,90.0,85.0,85.0,90.0,90.0
Understanding Appointments in God's Plan answered by gemma Bible Translator,92.0,95.0,95.0,95.0,85.0,90.0,95.0,95.0
God's Timing answered by gemma Bible Translator,95.0,95.0,95.0,95.0,92.0,85.0,90.0,90.0
Role of Appointments in Service answered by gemma Bible Translator,95.0,90.0,95.0,90.0,95.0,85.0,95.0,85.0
Understanding the Trinity answered by gemma Bible Translator,90.0,95.0,95.0,95.0,85.0,95.0,85.0,90.0
Becoming a Child of God answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,95.0,95.0
Nature of Forgiveness answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,90.0
Definition of Blessing answered by gemma Bible Translator,95.0,95.0,95.0,95.0,60.0,80.0,85.0,85.0
Biblical Examples of Blessing answered by gemma Bible Translator,70.0,70.0,70.0,70.0,60.0,75.0,85.0,95.0
The Role of Blessing in Worship answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,85.0,95.0,95.0
Godly Character answered by gemma Bible Translator,100.0,95.0,95.0,95.0,85.0,90.0,85.0,92.0
Godliness Definition answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,85.0,90.0
Ungodliness Consequences answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,80.0,95.0,95.0
Sacrificial Love answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,95.0,93.0
Types of Love answered by gemma Bible Translator,90.0,90.0,95.0,90.0,85.0,85.0,85.0,85.0
Love and Forgiveness answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,90.0,95.0
Definition of Evangelist answered by gemma Bible Translator,95.0,90.0,90.0,90.0,60.0,90.0,85.0,95.0
Biblical Exhortation answered by gemma Bible Translator,90.0,90.0,95.0,95.0,80.0,90.0,90.0,90.0
Gift of Evangelism answered by gemma Bible Translator,85.0,90.0,90.0,90.0,60.0,60.0,85.0,90.0
Zeal Definition answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,85.0,90.0,90.0
God's Zeal answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,90.0
Translation Suggestions answered by gemma Bible Translator,90.0,90.0,90.0,90.0,60.0,80.0,85.0,85.0
Understanding Fear in Worship answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,95.0,90.0,90.0
Translating 'Fear' in Context answered by gemma Bible Translator,95.0,90.0,95.0,95.0,85.0,90.0,85.0,90.0
Biblical Assurance Against Fear answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,85.0,90.0,95.0
Holy Spirit Identity answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,80.0,95.0,87.0
Role of the Holy Spirit in Creation answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,90.0,85.0
Empowerment by the Holy Spirit answered by gemma Bible Translator,90.0,95.0,95.0,95.0,85.0,90.0,90.0,95.0
Understanding Worldly Values answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,72.0,90.0,95.0
Scriptural Reference answered by gemma Bible Translator,90.0,90.0,85.0,85.0,60.0,85.0,85.0,85.0
Corruption of the World answered by gemma Bible Translator,90.0,95.0,85.0,90.0,60.0,80.0,95.0,90.0
Understanding Humility answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,85.0,90.0,90.0
Biblical Example of Humility answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,75.0,90.0,90.0
Consequences of Pride answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Definition of Begetting answered by gemma Bible Translator,95.0,90.0,95.0,90.0,80.0,60.0,85.0,90.0
Translation of Begotten answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,85.0,90.0
Biblical Usage answered by gemma Bible Translator,90.0,95.0,95.0,95.0,85.0,80.0,90.0,95.0
Authority of God answered by gemma Bible Translator,95.0,95.0,90.0,90.0,92.0,85.0,95.0,90.0
Translation of 'Yahweh' answered by gemma Bible Translator,85.0,85.0,90.0,85.0,85.0,90.0,85.0,85.0
Hosts in Scripture answered by gemma Bible Translator,90.0,90.0,90.0,90.0,80.0,85.0,85.0,90.0
Covenant Faithfulness Defined answered by gemma Bible Translator,95.0,85.0,90.0,90.0,85.0,85.0,90.0,95.0
Biblical References answered by gemma Bible Translator,95.0,90.0,90.0,90.0,60.0,80.0,90.0,90.0
Translation Variations answered by gemma Bible Translator,90.0,90.0,90.0,75.0,70.0,80.0,85.0,85.0
Understanding Faithlessness answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,80.0,95.0,95.0
Unfaithfulness in Worship answered by gemma Bible Translator,95.0,90.0,90.0,90.0,70.0,60.0,85.0,95.0
Adultery and Unfaithfulness answered by gemma Bible Translator,90.0,90.0,95.0,90.0,60.0,85.0,90.0,95.0
Centurion and Healing answered by gemma Bible Translator,90.0,95.0,95.0,95.0,85.0,90.0,90.0,90.0
Centurion at the Crucifixion answered by gemma Bible Translator,95.0,95.0,95.0,90.0,95.0,80.0,90.0,85.0
Centurion and Peter answered by gemma Bible Translator,95.0,90.0,95.0,95.0,85.0,90.0,90.0,90.0
Dominion in Creation answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,85.0,95.0
Dominion of Christ answered by gemma Bible Translator,90.0,95.0,95.0,95.0,85.0,70.0,90.0,85.0
Victory over Satan's Dominion answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,80.0,90.0,95.0
Understanding Adultery answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,95.0,95.0,95.0
Definition Clarity answered by gemma Bible Translator,95.0,95.0,100.0,95.0,80.0,90.0,90.0,95.0
Faithfulness in Marriage answered by gemma Bible Translator,95.0,95.0,95.0,95.0,92.0,90.0,90.0,90.0
Understanding Discipleship answered by gemma Bible Translator,90.0,90.0,90.0,95.0,70.0,80.0,85.0,95.0
The Role of the Twelve Apostles answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,85.0,95.0
The Great Commission answered by gemma Bible Translator,95.0,95.0,90.0,95.0,90.0,95.0,95.0,95.0
Understanding Forgiveness answered by gemma Bible Translator,95.0,95.0,95.0,90.0,60.0,85.0,90.0,86.0
Pardon in Christianity answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,85.0,90.0,90.0
Biblical Basis for Forgiveness answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,95.0
Significance of Altars answered by gemma Bible Translator,90.0,90.0,95.0,95.0,80.0,75.0,90.0,90.0
Building Materials answered by gemma Bible Translator,80.0,85.0,95.0,85.0,60.0,50.0,70.0,50.0
Historical Examples answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,80.0,85.0,92.0
Day of the Lord Meaning answered by gemma Bible Translator,95.0,95.0,95.0,95.0,60.0,90.0,90.0,92.0
Judgment and Resurrection answered by gemma Bible Translator,90.0,95.0,95.0,95.0,80.0,80.0,85.0,90.0
God's Wrath answered by gemma Bible Translator,90.0,85.0,85.0,85.0,60.0,70.0,85.0,85.0
Definition of Gospel answered by gemma Bible Translator,90.0,95.0,95.0,95.0,80.0,85.0,85.0,90.0
Importance of Proclaiming the Gospel answered by gemma Bible Translator,95.0,95.0,95.0,95.0,75.0,85.0,90.0,95.0
Role of Scripture in the Gospel answered by gemma Bible Translator,90.0,95.0,95.0,95.0,80.0,90.0,85.0,90.0
God's Power answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,85.0,90.0,90.0
Titles of God answered by gemma Bible Translator,95.0,85.0,90.0,95.0,85.0,70.0,90.0,85.0
Scriptural References answered by gemma Bible Translator,90.0,90.0,90.0,90.0,80.0,90.0,95.0,90.0
Understanding the Cross answered by gemma Bible Translator,95.0,95.0,95.0,90.0,92.0,80.0,95.0,90.0
Daily Bearing the Cross answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,80.0,85.0,90.0
Historical Context of the Cross answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,75.0,90.0,85.0
Nature of the Soul answered by gemma Bible Translator,85.0,92.0,90.0,90.0,85.0,80.0,85.0,90.0
Purpose of the Soul answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,95.0
Function of the Soul answered by gemma Bible Translator,90.0,95.0,90.0,95.0,85.0,80.0,85.0,85.0
Definition of Beloved answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,90.0
Beloved in Scripture answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,90.0,85.0
Translations of Beloved answered by gemma Bible Translator,92.0,90.0,90.0,90.0,30.0,90.0,85.0,90.0
Understanding Adoption in Christ answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,85.0,85.0
Privileges of Sonship answered by gemma Bible Translator,90.0,85.0,95.0,90.0,85.0,90.0,85.0,95.0
Looking Forward to Adoption answered by gemma Bible Translator,90.0,92.0,90.0,90.0,85.0,90.0,90.0,75.0
Understanding the Day of Judgment answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,85.0
Judgment Criteria answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,85.0,95.0,90.0
Scriptural References 2 answered by gemma Bible Translator,80.0,90.0,85.0,70.0,80.0,80.0,85.0,95.0
Understanding Iniquity answered by gemma Bible Translator,85.0,80.0,60.0,80.0,85.0,70.0,85.0,80.0
Implications of Iniquity answered by gemma Bible Translator,95.0,90.0,95.0,95.0,85.0,80.0,90.0,85.0
Scriptural References 3 answered by gemma Bible Translator,91.0,85.0,95.0,85.0,85.0,80.0,85.0,90.0
Restoration of Relationships answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,95.0,95.0,95.0
Scriptural References to Restoration answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,85.0,85.0,90.0
Concept of Renewal answered by gemma Bible Translator,95.0,95.0,90.0,90.0,85.0,85.0,90.0,95.0
Purpose of Tests answered by gemma Bible Translator,90.0,90.0,95.0,95.0,85.0,90.0,90.0,95.0
Testing God answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,95.0,95.0
Testing and Temptation answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,90.0,95.0
Myrrh as a Gift answered by gemma Bible Translator,30.0,50.0,90.0,20.0,70.0,40.0,80.0,20.0
Use in Burial answered by gemma Bible Translator,85.0,85.0,85.0,80.0,85.0,85.0,80.0,70.0
Jesus’ Crucifixion answered by gemma Bible Translator,90.0,90.0,70.0,90.0,85.0,70.0,80.0,70.0
Understanding Condemnation answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,85.0
Right Judgment answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,75.0,85.0,85.0
Condemnation and Punishment answered by gemma Bible Translator,90.0,90.0,95.0,95.0,95.0,85.0,90.0,75.0
Understanding Eternal Life answered by gemma Bible Translator,40.0,70.0,90.0,90.0,90.0,50.0,85.0,90.0
Nature of Eternity answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,90.0,90.0
